series_id,model_label,rho_true,k,rho_phys,rho_dl,rho_ml,fit_failed
1311,SIR,0.004999999888241291,10,0.044590221205772246,1.0612787946229219e-06,0.005449332583945875,False
4806,SIR,0.45100000500679016,10,0.8760859821452367,0.0008617735002189875,0.5247205241494928,False
8735,SIS,0.7543946504592896,10,0.5209535920919787,0.0040707699954509735,0.8639813327213097,False
7410,SIS,0.0048828125,10,0.0048828125,1.22485116662574e-05,0.0067065850686666645,False
6340,SIS,0.004999999888241291,10,0.004999999888241291,2.2754815290682018e-05,0.009770213992154818,False
5441,SIS,0.004999999888241291,10,0.004999999888241291,3.326329533592798e-05,0.03505057305990086,False
8980,SIS,0.8566476702690125,10,0.7684026283449488,0.0022709753829985857,0.8781144958200399,False
1287,SIR,0.004999999888241291,10,0.06749643542999019,9.910384051181609e-07,0.005449332583945875,False
9357,SIS,0.0024999999441206455,10,0.0024999999441206455,3.1461324851989048e-06,0.005442061992554283,False
6567,SIS,0.006000000052154064,10,0.004999999888241291,5.927153324591927e-05,0.06819884218825949,False
3059,SIR,0.001237930147908628,10,0.002390108239833409,1.6264623354800278e-06,0.004288794890004382,False
4202,SIR,0.0024999999441206455,10,0.033608142771814904,1.3830161833539023e-06,0.004267563556982959,False
8402,SIS,0.4364941716194153,10,0.1367609727872953,0.00033719735802151263,0.5561981310414154,False
2190,SIR,0.0048828125,10,0.06594576169529638,9.994143965741387e-07,0.005449332583945875,False
6869,SIS,0.6539999842643738,10,0.07304213502557998,0.0002537494001444429,0.4514510834938758,False
6475,SIS,0.004999999888241291,10,0.004999999888241291,1.4779899174754974e-05,0.010779297246699428,False
4922,SIR,0.6575000286102295,10,0.9863603987511488,0.0020877448841929436,0.6768804769767388,False
8514,SIS,0.5664768218994141,10,0.1678580865962577,0.0006062276661396027,0.762606208113027,False
9954,SIS,0.6779999732971191,10,0.5918930199944518,0.0020557225216180086,0.7802268691685686,False
2424,SIR,0.005859375,10,0.07718229422763093,1.1725816193575156e-06,0.005449332583945875,False
3890,SIR,0.9546917676925659,10,0.9976955101540959,0.003553509945049882,0.9404355329156198,False
4045,SIR,0.0024999999441206455,10,0.0037695720497672013,1.4402503438759595e-06,0.004077676191937367,False
7262,SIS,0.0048828125,10,0.0048828125,3.991359335486777e-05,0.021381179930560133,False
1372,SIR,0.007000000216066837,10,0.11094044189917071,1.6207952739932807e-06,0.012093103763089216,False
9704,SIS,0.39100000262260437,10,0.9769113175934231,0.000747180893085897,0.4166424361300838,False
9760,SIS,0.4490000009536743,10,0.3245554933035474,0.005768800154328346,0.8481560031863256,False
4097,SIR,0.0024999999441206455,10,0.0037695720497672013,1.4402503438759595e-06,0.004077676191937367,False
